order_id,order_date,employee,region,status,revenue,delivery_days
1001,2026-01-03,Alice,North,Pending,1200,4
1002,2026-01-04,Bob,West,Completed,2400,2
1003,2026-01-04,Charlie,South,Completed,1800,3
1004,2026-01-09,Alice,North,Pending,950,6
1005,2026-02-01,Bob,West,Completed,3200,2
1006,2026-02-05,Charlie,South,Pending,1100,5
1007,2026-02-08,Alice,East,Completed,2750,3
1008,2026-02-10,Bob,West,Completed,4100,1
1009,2026-03-01,Charlie,North,Pending,980,7
1010,2026-03-04,Alice,East,Completed,3650,2
